case_id,activity,timestamp,resource,department,cost,priority,sla_hours,customer_segment
INC-1010,Triage,2026-04-06 15:00,Service Desk A,Service Desk,18,P3,72,Enterprise
INC-1010,Assign Team,2026-04-06 17:00,Coordinator 3,Service Desk,12,P3,72,Enterprise
INC-1010,Diagnose,2026-04-07 10:00,Engineer N1,Network Operations,75,P3,72,Enterprise
INC-1010,Resolve,2026-04-07 14:00,Engineer N1,Network Operations,90,P3,72,Enterprise
INC-1010,Customer Confirmation,2026-04-07 16:00,Service Desk A,Service Desk,15,P3,72,Enterprise
INC-1010,Close Ticket,2026-04-07 16:45,Service Desk A,Service Desk,8,P3,72,Enterprise
INC-1011,Ticket Created,2026-04-07 08:30,Service Desk B,Service Desk,12,P2,24,Enterprise
INC-1011,Triage,2026-04-07 09:15,Service Desk B,Service Desk,18,P2,24,Enterprise
INC-1011,Assign Team,2026-04-07 10:00,Coordinator 2,Service Desk,12,P2,24,Enterprise
INC-1011,Diagnose,2026-04-07 13:00,Engineer W1,Workplace Services,70,P2,24,Enterprise
INC-1011,Resolve,2026-04-07 15:30,Engineer W1,Workplace Services,85,P2,24,Enterprise
INC-1011,Customer Confirmation,2026-04-07 17:30,Service Desk B,Service Desk,15,P2,24,Enterprise
INC-1011,Close Ticket,2026-04-07 18:00,Service Desk B,Service Desk,8,P2,24,Enterprise
INC-1012,Ticket Created,2026-04-07 12:20,Service Desk C,Service Desk,12,P1,8,Public Sector
INC-1012,Triage,2026-04-07 12:40,Service Desk C,Service Desk,18,P1,8,Public Sector
INC-1012,Assign Team,2026-04-07 13:15,Coordinator 1,Service Desk,12,P1,8,Public Sector
INC-1012,Diagnose,2026-04-07 15:00,Engineer S1,Security Operations,95,P1,8,Public Sector
INC-1012,Manager Approval,2026-04-07 18:00,Service Manager,Security Operations,65,P1,8,Public Sector
INC-1012,Resolve,2026-04-08 09:30,Engineer S1,Security Operations,120,P1,8,Public Sector
INC-1012,Customer Confirmation,2026-04-08 11:00,Service Desk C,Service Desk,15,P1,8,Public Sector
INC-1012,Close Ticket,2026-04-08 11:20,Service Desk C,Service Desk,8,P1,8,Public Sector
INC-1013,Ticket Created,2026-04-08 09:00,Service Desk A,Service Desk,12,P2,24,SMB
INC-1013,Triage,2026-04-08 09:35,Service Desk A,Service Desk,18,P2,24,SMB
INC-1013,Assign Team,2026-04-08 10:10,Coordinator 3,Service Desk,12,P2,24,SMB
INC-1013,Diagnose,2026-04-08 12:30,Engineer N2,Network Operations,75,P2,24,SMB
INC-1013,Resolve,2026-04-08 16:00,Engineer N2,Network Operations,90,P2,24,SMB
INC-1013,Customer Confirmation,2026-04-09 09:00,Service Desk A,Service Desk,15,P2,24,SMB
INC-1013,Close Ticket,2026-04-09 09:30,Service Desk A,Service Desk,8,P2,24,SMB
INC-1014,Ticket Created,2026-04-08 11:45,Service Desk B,Service Desk,12,P3,72,Enterprise
INC-1014,Triage,2026-04-08 12:30,Service Desk B,Service Desk,18,P3,72,Enterprise
INC-1014,Assign Team,2026-04-08 15:00,Coordinator 2,Service Desk,12,P3,72,Enterprise
INC-1014,Diagnose,2026-04-09 09:30,Engineer A2,Application Support,85,P3,72,Enterprise
INC-1014,Knowledge Base Update,2026-04-09 13:30,Engineer A2,Application Support,45,P3,72,Enterprise
INC-1014,Resolve,2026-04-09 16:30,Engineer A2,Application Support,95,P3,72,Enterprise
INC-1014,Customer Confirmation,2026-04-10 10:30,Service Desk B,Service Desk,15,P3,72,Enterprise
INC-1014,Close Ticket,2026-04-10 11:00,Service Desk B,Service Desk,8,P3,72,Enterprise
INC-1015,Ticket Created,2026-04-09 08:10,Service Desk C,Service Desk,12,P2,24,Public Sector
INC-1015,Triage,2026-04-09 08:50,Service Desk C,Service Desk,18,P2,24,Public Sector
INC-1015,Assign Team,2026-04-09 10:00,Coordinator 1,Service Desk,12,P2,24,Public Sector
INC-1015,Diagnose,2026-04-09 12:00,Engineer S2,Security Operations,95,P2,24,Public Sector
INC-1015,Resolve,2026-04-09 15:00,Engineer S2,Security Operations,115,P2,24,Public Sector
INC-1015,Customer Confirmation,2026-04-09 16:00,Service Desk C,Service Desk,15,P2,24,Public Sector
INC-1015,Reopen Ticket,2026-04-10 09:00,Service Desk C,Service Desk,20,P2,24,Public Sector
INC-1015,Diagnose,2026-04-10 13:00,Engineer S2,Security Operations,95,P2,24,Public Sector
INC-1015,Resolve,2026-04-10 18:30,Engineer S2,Security Operations,120,P2,24,Public Sector
INC-1015,Customer Confirmation,2026-04-11 11:30,Service Desk C,Service Desk,15,P2,24,Public Sector
INC-1015,Close Ticket,2026-04-11 12:00,Service Desk C,Service Desk,8,P2,24,Public Sector
INC-1016,Ticket Created,2026-04-10 07:55,Service Desk A,Service Desk,12,P1,8,Enterprise
INC-1016,Triage,2026-04-10 08:05,Service Desk A,Service Desk,18,P1,8,Enterprise
INC-1016,Assign Team,2026-04-10 08:20,Coordinator 3,Service Desk,12,P1,8,Enterprise
INC-1016,Diagnose,2026-04-10 09:00,Engineer N1,Network Operations,75,P1,8,Enterprise
INC-1016,Resolve,2026-04-10 11:45,Engineer N1,Network Operations,105,P1,8,Enterprise
INC-1016,Customer Confirmation,2026-04-10 12:20,Service Desk A,Service Desk,15,P1,8,Enterprise
INC-1016,Close Ticket,2026-04-10 12:35,Service Desk A,Service Desk,8,P1,8,Enterprise
INC-1017,Ticket Created,2026-04-10 10:30,Service Desk B,Service Desk,12,P3,72,SMB
INC-1017,Triage,2026-04-10 11:30,Service Desk B,Service Desk,18,P3,72,SMB
INC-1017,Assign Team,2026-04-10 14:30,Coordinator 2,Service Desk,12,P3,72,SMB
INC-1017,Diagnose,2026-04-13 09:00,Engineer W2,Workplace Services,70,P3,72,SMB
INC-1017,Resolve,2026-04-13 15:00,Engineer W2,Workplace Services,90,P3,72,SMB
INC-1017,Customer Confirmation,2026-04-14 11:30,Service Desk B,Service Desk,15,P3,72,SMB
INC-1017,Close Ticket,2026-04-14 12:00,Service Desk B,Service Desk,8,P3,72,SMB
INC-1018,Ticket Created,2026-04-11 09:15,Service Desk C,Service Desk,12,P2,24,Enterprise
INC-1018,Triage,2026-04-11 10:00,Service Desk C,Service Desk,18,P2,24,Enterprise
INC-1018,Assign Team,2026-04-11 11:00,Coordinator 1,Service Desk,12,P2,24,Enterprise
INC-1018,Diagnose,2026-04-11 14:00,Engineer A1,Application Support,85,P2,24,Enterprise
INC-1018,Resolve,2026-04-11 19:00,Engineer A1,Application Support,105,P2,24,Enterprise
INC-1018,Customer Confirmation,2026-04-12 09:30,Service Desk C,Service Desk,15,P2,24,Enterprise
INC-1018,Close Ticket,2026-04-12 10:00,Service Desk C,Service Desk,8,P2,24,Enterprise
